inmueble_id,area_m2,habitaciones,antiguedad_anios,estrato,precio_millones_cop
AP-001,118.5,3,22,3,341.7
AP-002,86.7,4,28,5,497.7
AP-003,126.6,1,26,4,637.9
AP-004,111.2,3,4,3,495.0
AP-005,53.9,1,29,4,234.9
AP-006,137.7,3,19,4,649.4
AP-007,117.3,2,11,5,585.8
AP-008,119.7,3,18,5,643.0
AP-009,57.2,3,34,4,291.3
AP-010,87.8,3,30,3,320.2
AP-011,80.2,1,30,5,476.4
AP-012,133.0,4,16,4,649.2
AP-013,106.2,2,28,5,590.3
AP-014,123.2,1,13,3,443.1
AP-015,87.1,3,24,5,551.9
AP-016,66.6,2,23,4,400.7
AP-017,97.7,3,8,3,377.5
AP-018,51.1,3,9,4,291.2
AP-019,123.6,2,2,4,658.1
AP-020,105.0,4,5,3,458.8
AP-021,117.0,2,15,4,603.3
AP-022,78.7,3,17,5,483.9
AP-023,137.2,2,5,3,617.1
AP-024,129.8,4,15,4,631.0
AP-025,118.9,2,21,4,549.6
AP-026,63.5,1,8,3,318.9
AP-027,89.3,2,12,5,524.9
AP-028,49.2,4,13,5,376.8
AP-029,59.7,4,18,3,243.9
AP-030,109.9,3,13,5,648.2
AP-031,115.8,4,26,5,572.4
AP-032,136.9,4,11,3,598.2
AP-033,76.0,3,15,5,474.7
AP-034,80.2,2,13,3,368.2
AP-035,89.6,3,6,5,474.7
AP-036,63.0,3,24,4,302.9
AP-037,57.3,2,8,4,270.3
AP-038,90.2,1,10,3,319.7
AP-039,66.6,3,28,5,438.0
AP-040,108.6,2,34,3,370.5
AP-041,86.5,4,24,3,338.6
AP-042,124.1,2,32,3,435.2
AP-043,111.5,1,30,5,571.8
AP-044,74.7,3,17,3,266.0
AP-045,124.1,2,27,5,662.4
AP-046,121.5,2,11,4,600.7
AP-047,81.8,3,16,3,351.2
AP-048,72.4,4,19,3,329.9
AP-049,109.8,2,34,3,394.1
AP-050,58.3,2,30,4,367.9
AP-051,64.0,3,17,5,442.2
AP-052,45.7,4,23,3,183.9
AP-053,119.8,3,7,5,652.6
AP-054,108.2,1,28,3,334.9
AP-055,112.0,1,19,5,543.3
AP-056,119.2,2,19,5,599.9
AP-057,88.6,1,27,5,481.4
AP-058,99.0,3,22,4,489.6
AP-059,58.3,1,2,5,433.6
AP-060,55.9,3,10,3,221.8
AP-061,108.5,3,6,3,498.3
AP-062,89.8,3,26,3,370.8
AP-063,98.7,2,1,4,506.2
AP-064,117.7,3,7,4,558.6
AP-065,105.3,3,21,4,524.6
AP-066,97.6,3,25,5,560.9
AP-067,98.1,1,18,3,304.9
AP-068,73.9,1,30,4,328.1
AP-069,47.9,4,33,3,190.0
AP-070,86.5,2,4,3,332.7
AP-071,65.4,2,34,4,311.1
AP-072,83.8,2,22,5,435.2
AP-073,126.1,3,22,4,632.6
AP-074,67.2,4,3,3,377.8
AP-075,50.5,2,22,4,266.8
AP-076,71.7,4,26,3,302.0
AP-077,72.9,1,20,5,345.6
AP-078,107.9,3,3,4,511.3
AP-079,97.9,3,18,3,380.3
AP-080,119.5,1,33,3,363.7
AP-081,108.1,1,26,3,409.4
AP-082,83.6,2,4,5,617.6
AP-083,122.3,4,34,4,502.7
AP-084,60.9,3,34,5,357.9
AP-085,47.2,4,6,4,343.8
AP-086,53.6,3,28,4,353.1
AP-087,113.6,2,14,3,397.8
AP-088,88.9,3,21,5,540.3
AP-089,60.3,1,16,3,297.0
AP-090,92.6,1,28,4,340.8
AP-091,59.5,3,35,4,242.4
AP-092,111.2,3,28,4,490.6
AP-093,87.4,2,33,5,458.8
AP-094,81.2,3,34,3,321.1
AP-095,73.6,3,3,4,436.8
AP-096,104.9,4,9,4,475.1
AP-097,79.4,3,25,4,414.8
AP-098,53.3,2,21,3,176.9
AP-099,56.2,2,1,3,312.0
AP-100,136.4,2,3,3,535.7
AP-101,131.3,3,18,3,493.5
AP-102,111.5,4,22,4,560.3
AP-103,70.3,2,6,4,422.7
AP-104,137.1,2,6,4,663.9
AP-105,119.0,2,4,4,514.8
AP-106,113.1,3,20,4,556.3
AP-107,87.7,3,0,3,356.9
AP-108,70.9,1,20,4,353.8
AP-109,54.2,1,17,3,141.5
AP-110,130.7,3,16,3,539.5
AP-111,88.3,1,24,4,368.3
AP-112,64.2,3,18,4,302.7
AP-113,74.1,2,26,3,295.1
AP-114,100.0,1,27,4,447.2
AP-115,61.8,4,33,4,297.8
AP-116,126.4,2,28,4,608.4
AP-117,117.1,2,18,4,522.4
AP-118,113.3,2,17,4,529.3
AP-119,86.0,1,8,3,352.6
AP-120,104.6,1,21,5,535.2
AP-121,100.5,1,5,4,513.2
AP-122,106.7,2,33,4,441.6
AP-123,53.0,1,30,4,234.9
AP-124,84.5,3,4,3,430.6
AP-125,49.0,3,28,4,229.6
AP-126,91.9,2,4,4,382.7
AP-127,76.3,2,25,5,521.9
AP-128,58.7,3,3,5,562.5
AP-129,54.8,4,17,4,319.5
AP-130,100.8,4,23,4,418.1
AP-131,61.2,1,26,5,370.1
AP-132,132.9,2,15,3,506.1
AP-133,100.2,2,33,5,520.7
AP-134,78.0,2,27,4,324.4
AP-135,101.1,3,7,3,454.9
AP-136,47.2,2,24,3,190.3
AP-137,136.1,1,26,5,607.4
AP-138,90.8,2,12,3,393.0
AP-139,119.4,3,26,3,535.8
AP-140,52.9,1,32,3,162.9
AP-141,91.2,3,29,3,325.6
AP-142,91.6,1,27,3,309.9
AP-143,134.1,4,22,4,649.2
AP-144,99.3,1,9,3,320.6
AP-145,90.0,3,28,5,523.6
AP-146,70.4,4,13,5,479.4
AP-147,76.5,4,19,3,397.1
AP-148,94.5,3,11,3,389.6
AP-149,86.7,3,11,4,523.7
AP-150,47.1,3,5,3,187.3
